"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"O82"	"K66"	"Encounter for cesarean delivery without indication"	"Other disorders of peritoneum"	1	205	50	255
"K27"	"F03"	"Peptic ulcer, site unspecified"	"Unspecified dementia"	1	555	347	902
"K80"	"G62"	"Cholelithiasis"	"Other and unspecified polyneuropathies"	1	804	326	1130
"O73"	"K43"	"Retained placenta and membranes, without hemorrhage"	"Ventral hernia"	1	28	0	28
"O20"	"O41"	"Hemorrhage in early pregnancy"	"Other disorders of amniotic fluid and membranes"	1	1564	618	2182
"D27"	"B96"	"Benign neoplasm of ovary"	"Oth bacterial agents as the cause of diseases classd elswhr"	1	32	3	35
"N81"	"K57"	"Female genital prolapse"	"Diverticular disease of intestine"	1	4430	0	4430
"O75"	"N95"	"Oth complications of labor and delivery, NEC"	"Menopausal and other perimenopausal disorders"	1	33	0	33
"M72"	"C20"	"Fibroblastic disorders"	"Malignant neoplasm of rectum"	1	304	70	374
"Q54"	"E66"	"Hypospadias"	"Overweight and obesity"	1	77	15	92
"M51"	"D53"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	"Other nutritional anemias"	1	71	1	72
"J03"	"F43"	"Acute tonsillitis"	"Reaction to severe stress, and adjustment disorders"	1	366	144	510
"M20"	"D63"	"Acquired deformities of fingers and toes"	"Anemia in chronic diseases classified elsewhere"	1	280	0	280
"N80"	"I46"	"Endometriosis"	"Cardiac arrest"	1	25	0	25
"H02"	"K55"	"Other disorders of eyelid"	"Vascular disorders of intestine"	1	126	38	164
"K00"	"K30"	"Disorders of tooth development and eruption"	"Functional dyspepsia"	1	91	29	120
"K40"	"H35"	"Inguinal hernia"	"Other retinal disorders"	1	2850	804	3654
"J43"	"C79"	"Emphysema"	"Secondary malignant neoplasm of other and unspecified sites"	1	274	38	312
"M47"	"E55"	"Spondylosis"	"Vitamin D deficiency"	1	449	216	665
"N75"	"I63"	"Diseases of Bartholin's gland"	"Cerebral infarction"	1	68	6	74
"J30"	"M05"	"Vasomotor and allergic rhinitis"	"Rheumatoid arthritis with rheumatoid factor"	1	98	14	112
"K21"	"M80"	"Gastro-esophageal reflux disease"	"Osteoporosis with current pathological fracture"	1	1500	364	1864
"H65"	"O99"	"Nonsuppurative otitis media"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	1	440	0	440
"E11"	"C83"	"Type 2 diabetes mellitus"	"Non-follicular lymphoma"	1	462	261	723
"K59"	"A41"	"Other functional intestinal disorders"	"Other sepsis"	1	7971	5946	13917
"M70"	"I61"	"Soft tissue disorders related to use, overuse and pressure"	"Nontraumatic intracerebral hemorrhage"	1	321	57	378
"M75"	"C13"	"Shoulder lesions"	"Malignant neoplasm of hypopharynx"	1	53	7	60
"M22"	"E21"	"Disorder of patella"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	72	0	72
"N92"	"C82"	"Excessive, frequent and irregular menstruation"	"Follicular lymphoma"	1	67	0	67
"J40"	"J15"	"Bronchitis, not specified as acute or chronic"	"Bacterial pneumonia, not elsewhere classified"	1	456	310	766
"M65"	"H33"	"Synovitis and tenosynovitis"	"Retinal detachments and breaks"	1	341	196	537
"C64"	"F41"	"Malignant neoplasm of kidney, except renal pelvis"	"Other anxiety disorders"	1	422	95	517
"D14"	"M19"	"Benign neoplasm of middle ear and respiratory system"	"Other and unspecified osteoarthritis"	1	255	137	392
"I83"	"C21"	"Varicose veins of lower extremities"	"Malignant neoplasm of anus and anal canal"	1	44	5	49
"J00"	"M22"	"Acute nasopharyngitis [common cold]"	"Disorder of patella"	1	58	0	58
"O70"	"H93"	"Perineal laceration during delivery"	"Other disorders of ear, not elsewhere classified"	1	569	77	646
"N81"	"B34"	"Female genital prolapse"	"Viral infection of unspecified site"	1	207	107	314
"B18"	"A41"	"Chronic viral hepatitis"	"Other sepsis"	1	522	318	840
"M79"	"B44"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Aspergillosis"	1	52	8	60
"L21"	"J15"	"Seborrheic dermatitis"	"Bacterial pneumonia, not elsewhere classified"	1	230	80	310
