gene	avg_logFC	p_val_adj	tissue	cell_type	hgnc_symbol	entrezgene_description	chromosome_name	start_position	end_position
ENSG00000001561	-0.832923959	0.000172586	CN	Neu	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	6	46129989	46146688
ENSG00000003402	0.931614323	1.39e-189	CN	Ast	CFLAR	CASP8 and FADD like apoptosis regulator	2	201116154	201176687
ENSG00000004059	-1.314985931	1.97e-92	AC	Ex	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004059	-1.42370296	1e-86	AC	Ast	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004059	-1.597465861	0.000141571	AC	MG	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004059	-1.107732978	8.57e-06	CN	OD	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004059	-1.515526734	1.29e-47	CN	Ast	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004059	-0.749174309	6.14e-120	CB	Neu	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004059	-1.110193284	1.29e-16	CB	In	ARF5	ADP ribosylation factor 5	7	127588386	127591700
ENSG00000004534	0.805883709	1.72e-17	CB	In	RBM6	RNA binding motif protein 6	3	49940007	50100045
ENSG00000004660	-0.728072461	5.3e-47	AC	Ex	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	17	3860315	3894891
ENSG00000004660	-0.708506294	2.43e-23	AC	Ast	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	17	3860315	3894891
ENSG00000005108	1.12852371	2.82e-77	AC	Ast	THSD7A	thrombospondin type 1 domain containing 7A	7	11370365	11832198
ENSG00000005108	1.425255831	1.76e-41	CN	OD	THSD7A	thrombospondin type 1 domain containing 7A	7	11370365	11832198
ENSG00000005513	1.064353537	0.000150464	AC	OPC	SOX8	SRY-box transcription factor 8	16	981770	986979
ENSG00000005513	1.558801345	2.69e-10	CN	OPC	SOX8	SRY-box transcription factor 8	16	981770	986979
ENSG00000006015	-0.855198145	1.62e-30	AC	Ast	REX1BD	required for excision 1-B domain containing	19	18588685	18592336
ENSG00000006128	-0.695335851	2.1e-10	AC	Ast	TAC1	tachykinin precursor 1	7	97732084	97740472
ENSG00000006210	-1.167164016	2.13e-100	AC	Ex	CX3CL1	C-X3-C motif chemokine ligand 1	16	57372477	57385044
ENSG00000006432	1.523423778	3.18e-25	CB	In	MAP3K9	mitogen-activated protein kinase kinase kinase 9	14	70722526	70809534
ENSG00000006740	0.729601713	1.41e-48	AC	Ex	ARHGAP44	Rho GTPase activating protein 44	17	12789498	12991643
ENSG00000007237	1.699306206	0	AC	Ex	GAS7	growth arrest specific 7	17	9910609	10198551
ENSG00000007237	1.561126724	3.75e-126	AC	Ast	GAS7	growth arrest specific 7	17	9910609	10198551
ENSG00000007237	1.184870246	3.42e-21	CN	OD	GAS7	growth arrest specific 7	17	9910609	10198551
ENSG00000007237	1.820322974	0	CN	Ast	GAS7	growth arrest specific 7	17	9910609	10198551
ENSG00000007237	1.740848176	0	CB	Neu	GAS7	growth arrest specific 7	17	9910609	10198551
ENSG00000007516	2.112773334	6.6e-72	CN	In	BAIAP3	BAI1 associated protein 3	16	1333601	1349441
ENSG00000008056	1.3177715	3.85e-179	AC	Ex	SYN1	synapsin I	X	47571901	47619857
ENSG00000008056	1.260210096	8.55e-106	AC	Ast	SYN1	synapsin I	X	47571901	47619857
ENSG00000008056	1.148670111	8.12e-18	CN	OD	SYN1	synapsin I	X	47571901	47619857
ENSG00000008056	1.071610821	1.2e-113	CN	Ast	SYN1	synapsin I	X	47571901	47619857
ENSG00000008086	1.110826196	1.41e-196	CN	Ast	CDKL5	cyclin dependent kinase like 5	X	18425583	18653629
ENSG00000008311	-1.367184724	1.15e-24	CN	In	AASS	aminoadipate-semialdehyde synthase	7	122073549	122144255
ENSG00000010244	0.753084512	3.6e-69	AC	Ex	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.324676475	1.73e-10	AC	In	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	0.788013642	8.88e-42	AC	Ast	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.222157002	4.1e-32	CN	OD	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.226789053	4.79e-198	CN	Ast	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.088696103	0.00020932	CN	OPC	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.593994714	0	CB	Neu	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.227224688	1.52e-25	CB	In	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.544415552	4.16e-11	CB	Ast	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010244	1.593282865	7.72e-13	CB	OD	ZNF207	zinc finger protein 207	17	32350117	32381886
ENSG00000010278	-0.704286369	2.76e-07	CN	Neu	CD9	CD9 molecule	12	6199715	6238271
ENSG00000010282	1.52062248	4.38e-72	CN	Neu	HHATL	hedgehog acyltransferase like	3	42692663	42702824
ENSG00000010810	1.119229764	3.03e-30	AC	OD	FYN	FYN proto-oncogene, Src family tyrosine kinase	6	111660332	111873452
ENSG00000010818	-0.819406626	4.59e-37	AC	Ex	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	6	142751469	142956698
ENSG00000010818	-0.765547242	4.81e-07	CN	Ast	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	6	142751469	142956698
ENSG00000011052	-1.872140845	7.2e-133	AC	Ex	NME1-NME2	NME1-NME2 readthrough	17	51153590	51171744
ENSG00000011052	-1.876869409	1.77e-131	AC	Ast	NME1-NME2	NME1-NME2 readthrough	17	51153590	51171744
ENSG00000011052	-1.947427637	5.61e-14	CN	OD	NME1-NME2	NME1-NME2 readthrough	17	51153590	51171744
ENSG00000011052	-2.17607455	7.44e-59	CN	Ast	NME1-NME2	NME1-NME2 readthrough	17	51153590	51171744
ENSG00000011052	-1.738398928	8.72e-32	CB	In	NME1-NME2	NME1-NME2 readthrough	17	51153590	51171744
ENSG00000011052	-1.823019664	0.011466724	CB	OD	NME1-NME2	NME1-NME2 readthrough	17	51153590	51171744
ENSG00000011083	-1.002636551	5.27e-47	AC	Ex	SLC6A7	solute carrier family 6 member 7	5	150190062	150222788
ENSG00000011295	0.802469484	7.52e-15	CN	OD	TTC19	tetratricopeptide repeat domain 19	17	15999784	16045015
ENSG00000011295	0.812779716	1.19e-86	CN	Ast	TTC19	tetratricopeptide repeat domain 19	17	15999784	16045015
ENSG00000011347	-1.046459669	4.85e-146	AC	Ex	SYT7	synaptotagmin 7	11	61515313	61581148
ENSG00000011347	-0.897080231	4.46e-43	AC	Ast	SYT7	synaptotagmin 7	11	61515313	61581148
ENSG00000011347	-0.71364471	0.002473406	CN	Ast	SYT7	synaptotagmin 7	11	61515313	61581148
ENSG00000011347	-1.12252558	4.12e-15	CB	In	SYT7	synaptotagmin 7	11	61515313	61581148
ENSG00000011422	-1.813647254	0.038448477	CN	MG	PLAUR	plasminogen activator, urokinase receptor	19	43646095	43670547
ENSG00000011426	0.772897051	2.08e-31	CN	Neu	ANLN	anillin actin binding protein	7	36389821	36453791
ENSG00000012124	1.1834642	9.66e-09	AC	In	CD22	CD22 molecule	19	35319261	35347361
ENSG00000012124	1.409766633	4.11e-60	CN	Neu	CD22	CD22 molecule	19	35319261	35347361
ENSG00000013441	1.09954301	0.000304149	AC	OPC	CLK1	CDC like kinase 1	2	200853009	200864744
ENSG00000013441	1.326236574	4.27e-83	CN	Neu	CLK1	CDC like kinase 1	2	200853009	200864744
ENSG00000013441	1.031096657	0.000330973	CN	OPC	CLK1	CDC like kinase 1	2	200853009	200864744
ENSG00000014641	0.704311421	8.81e-129	CB	Neu	MDH1	malate dehydrogenase 1	2	63588609	63607197
ENSG00000015133	-0.758703654	1.68e-12	CN	Ast	CCDC88C	coiled-coil domain containing 88C	14	91271323	91417844
ENSG00000015592	-1.602896134	8.19e-19	AC	In	STMN4	stathmin 4	8	27235323	27258420
ENSG00000015592	-0.937418663	1.95e-20	CN	Neu	STMN4	stathmin 4	8	27235323	27258420
ENSG00000015592	-1.490039101	5.9e-11	CB	OD	STMN4	stathmin 4	8	27235323	27258420
ENSG00000017427	0.788569214	7.1e-42	AC	Ast	IGF1	insulin like growth factor 1	12	102395874	102481744
ENSG00000019505	-0.717633806	2.27e-05	CB	In	SYT13	synaptotagmin 13	11	45240302	45286341
ENSG00000021645	1.471758276	7.1e-167	AC	Ast	NRXN3	neurexin 3	14	78170373	79868290
ENSG00000021645	1.40288415	2.2e-36	CN	OD	NRXN3	neurexin 3	14	78170373	79868290
ENSG00000021645	1.176458944	0	CB	Neu	NRXN3	neurexin 3	14	78170373	79868290
ENSG00000021645	0.714197457	3.22e-13	CB	In	NRXN3	neurexin 3	14	78170373	79868290
ENSG00000021645	1.498349852	2.23e-09	CB	OD	NRXN3	neurexin 3	14	78170373	79868290
ENSG00000022355	0.706943219	1.93e-42	AC	Ex	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit	5	161847063	161899981
ENSG00000022355	0.780456924	3.01e-70	AC	Ast	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit	5	161847063	161899981
ENSG00000023171	1.042527261	2.08e-137	AC	Ex	GRAMD1B	GRAM domain containing 1B	11	123358428	123627774
ENSG00000023171	1.656295959	6.73e-31	CB	In	GRAMD1B	GRAM domain containing 1B	11	123358428	123627774
ENSG00000023228	0.939365861	3.93e-16	CN	OD	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	2	206114817	206159509
ENSG00000023228	0.735100198	7.11e-96	CN	Ast	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	2	206114817	206159509
ENSG00000023734	0.866801197	7.84e-82	AC	Ex	STRAP	serine/threonine kinase receptor associated protein	12	15882387	15903478
ENSG00000025800	0.72571731	5.38e-73	AC	Ex	KPNA6	karyopherin subunit alpha 6	1	32108056	32176563
ENSG00000025800	0.921967283	1.99e-14	CN	OD	KPNA6	karyopherin subunit alpha 6	1	32108056	32176563
ENSG00000026297	0.923638382	5.42e-10	AC	MG	RNASET2	ribonuclease T2	6	166929504	166957191
ENSG00000026297	1.405299742	9.52e-13	CN	MG	RNASET2	ribonuclease T2	6	166929504	166957191
ENSG00000026652	1.518173002	1.72e-13	AC	In	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	6	161129967	161274061
ENSG00000028137	-1.79681798	3.93e-15	AC	MG	TNFRSF1B	TNF receptor superfamily member 1B	1	12166991	12209228
ENSG00000028277	1.674436492	1.82e-07	AC	MG	POU2F2	POU class 2 homeobox 2	19	42086110	42196585
ENSG00000033122	0.721364435	1.4e-05	CN	OD	LRRC7	leucine rich repeat containing 7	1	69568261	70151945
ENSG00000035115	1.062932524	3.86e-152	CN	Ast	SH3YL1	SH3 and SYLF domain containing 1	2	217730	266398
ENSG00000035862	0.864368362	1.54e-64	AC	Ast	TIMP2	TIMP metallopeptidase inhibitor 2	17	78852977	78925387
