gene	p_val	avg_logFC	pct.H	pct.O	p_val_adj	cell_type	hgnc_symbol	chromosome_name	start_position	end_position	entrezgene_description	tissue	cell
ENSG00000001561	1.64e-08	-0.832923959	0.078	0.132	0.000172586	Neu	ENPP4	6	46129989	46146688	ectonucleotide pyrophosphatase/phosphodiesterase 4	CN	CN Neu
ENSG00000001561	0.014418806	-0.755633253	0.059	0.121	1	OD	ENPP4	6	46129989	46146688	ectonucleotide pyrophosphatase/phosphodiesterase 4	CB	CB OD
ENSG00000003056	0.000185828	-1.139851817	0.026	0.113	1	MG	M6PR	12	8940361	8949761	mannose-6-phosphate receptor, cation dependent	CN	CN MG
ENSG00000003402	1.32e-193	0.931614323	0.104	0.002	1.39e-189	Ast	CFLAR	2	201116154	201176687	CASP8 and FADD like apoptosis regulator	CN	CN Ast
ENSG00000004059	1.79e-96	-1.314985931	0.091	0.342	1.97e-92	Ex	ARF5	7	127588386	127591700	ADP ribosylation factor 5	AC	AC Ex
ENSG00000004059	9.09e-91	-1.42370296	0.041	0.213	1e-86	Ast	ARF5	7	127588386	127591700	ADP ribosylation factor 5	AC	AC Ast
ENSG00000004059	1.29e-08	-1.597465861	0.012	0.127	0.000141571	MG	ARF5	7	127588386	127591700	ADP ribosylation factor 5	AC	AC MG
ENSG00000004059	8.15e-10	-1.107732978	0.086	0.233	8.57e-06	OD	ARF5	7	127588386	127591700	ADP ribosylation factor 5	CN	CN OD
ENSG00000004059	1.23e-51	-1.515526734	0.07	0.302	1.29e-47	Ast	ARF5	7	127588386	127591700	ADP ribosylation factor 5	CN	CN Ast
ENSG00000004059	6.55e-124	-0.749174309	0.093	0.168	6.14e-120	Neu	ARF5	7	127588386	127591700	ADP ribosylation factor 5	CB	CB Neu
ENSG00000004059	1.38e-20	-1.110193284	0.057	0.194	1.29e-16	In	ARF5	7	127588386	127591700	ADP ribosylation factor 5	CB	CB In
ENSG00000004534	1.83e-21	0.805883709	0.28	0.105	1.72e-17	In	RBM6	3	49940007	50100045	RNA binding motif protein 6	CB	CB In
ENSG00000004660	4.81e-51	-0.728072461	0.214	0.402	5.3e-47	Ex	CAMKK1	17	3860315	3894891	calcium/calmodulin dependent protein kinase kinase 1	AC	AC Ex
ENSG00000004660	2.21e-27	-0.708506294	0.049	0.128	2.43e-23	Ast	CAMKK1	17	3860315	3894891	calcium/calmodulin dependent protein kinase kinase 1	AC	AC Ast
ENSG00000005108	2.56e-81	1.12852371	0.173	0.034	2.82e-77	Ast	THSD7A	7	11370365	11832198	thrombospondin type 1 domain containing 7A	AC	AC Ast
